num_conta,id_cliente
AC98266150,C00001
AC37995903,C00001
AC18671137,C00002
AC65835953,C00003
AC36579651,C00004
AC72488411,C00005
AC95021772,C00005
AC79123821,C00006
AC90390689,C00006
AC61194549,C00006
AC41322648,C00007
AC48281347,C00007
AC49995548,C00008
AC86600175,C00009
AC74948114,C00010
AC28237884,C00011
AC13269962,C00012
AC83919010,C00013
AC37041861,C00014
AC93669139,C00015
AC51583548,C00016
AC45687848,C00016
AC61557076,C00017
AC61675974,C00018
AC20954632,C00019
AC82067642,C00020
AC33969192,C00020
AC73972513,C00020
AC88506013,C00021
AC81657557,C00021
AC34789688,C00022
AC71025770,C00022
AC79241401,C00022
AC75324734,C00023
AC91835471,C00023
AC18135200,C00024
AC35020907,C00025
AC45654975,C00026
AC75561154,C00027
AC18850849,C00027
AC34284954,C00028
AC26446351,C00029
AC48501224,C00029
AC46546397,C00030
AC99078428,C00031
AC97450897,C00032
AC63857408,C00033
AC64227729,C00034
AC88649621,C00035
AC39732730,C00036
AC57807482,C00037
AC84546036,C00038
AC80265882,C00038
AC70812301,C00039
AC96054866,C00039
AC73523318,C00040
AC36142280,C00040
AC30295163,C00041
AC33819725,C00042
AC61205564,C00043
AC56699943,C00043
AC62220740,C00044
AC23352899,C00044
AC46928228,C00045
AC26921634,C00046
AC62231517,C00047
AC36114536,C00047
AC25846894,C00048
AC73799226,C00049
AC82701480,C00050
AC13445719,C00051
AC24369124,C00052
AC21367044,C00053
AC44783784,C00053
AC50804227,C00053
AC56544204,C00054
AC48757397,C00055
AC72897551,C00056
AC37388658,C00057
AC16604305,C00058
AC56023115,C00059
AC44222037,C00059
AC10589470,C00060
AC35721897,C00061
AC93071864,C00061
AC40627391,C00062
AC33377184,C00063
AC51384611,C00064
AC42949415,C00065
AC70663554,C00065
AC90485097,C00065
AC67697579,C00066
AC25048245,C00067
AC38613605,C00067
AC17197688,C00067
AC93022905,C00068
AC15038353,C00068
AC41749196,C00068
AC49774861,C00069
AC14888202,C00070
AC10799032,C00070
AC35417762,C00071
AC41460775,C00072
AC71741274,C00073
AC13658768,C00074
AC40458815,C00075
AC66812486,C00076
AC34365042,C00076
AC93842367,C00077
AC18969260,C00078
AC48871767,C00078
AC75655645,C00078
AC65836737,C00079
AC30706086,C00080
AC10861171,C00081
AC26010131,C00082
AC48538279,C00083
AC85808781,C00083
AC64271138,C00084
AC62495561,C00084
AC65256176,C00085
AC20074487,C00085
AC39047764,C00085
AC32762227,C00086
AC97073753,C00087
AC42113650,C00088
AC65630687,C00089
AC92131207,C00089
AC65055088,C00089
AC88581774,C00090
AC80531269,C00091
AC16694520,C00092
AC19170286,C00092
AC92607322,C00093
AC85540423,C00094
AC71872701,C00095
AC76263448,C00096
AC77233189,C00097
AC61083947,C00098
AC16654735,C00099
AC40530369,C00100
AC46349860,C00100
AC46409856,C00101
AC49833924,C00102
AC12829849,C00103
AC58991823,C00103
AC60563738,C00103
AC88343575,C00104
AC88075095,C00104
AC34660696,C00105
AC73202800,C00106
AC11482739,C00106
AC62750404,C00107
AC76159950,C00107
