id_cliente,DataNascimento,CPF,Nome,Email,Rua,Bairro,Cidade,Estado,CEP,funcional
C00001,1949-10-16,54871093204,Maria Cunha,da-luzvicente@gmail.com,Feira Almeida,João Pinheiro,Araújo,PE,12902382,F0091
C00002,1988-04-03,83017459241,Dr. Cauã Rocha,pduarte@bol.com.br,Vila Ana Sophia da Mata,Tirol,Monteiro,MG,20120341,F0090
C00003,1978-06-22,50892763400,Dra. Sophia Lima,diego35@ig.com.br,Residencial de Lopes,Capitão Eduardo,Duarte,BA,26594459,F0095
C00004,1990-09-22,93412068551,Sophia Gomes,marcos-vinicius76@gomes.net,Sítio de Cardoso,Vila Mantiqueira,Almeida Paulista,PR,89656507,F0067
C00005,1961-11-18,52710438941,Vicente Gomes,camila69@viana.org,Colônia Rezende,Havaí,Pires do Campo,RS,69521831,F0042
C00006,1988-11-02,64023578983,Isaac da Mata,pcunha@bol.com.br,Feira Pires,Santa Cecilia,Cardoso,CE,10279046,F0070
C00007,1954-12-25,90276345800,Laís Teixeira,meloluiz-felipe@barbosa.com,Estrada Castro,Vila Antena Montanhês,Moraes Paulista,RS,67913887,F0030
C00008,1951-11-24,82940765383,Maria Alice Carvalho,thiago11@da.com,Rua Melo,Maria Virgínia,da Cruz do Amparo,BA,29015452,F0099
C00009,1984-02-16,63184052753,Sr. Vicente Barros,evelynviana@hotmail.com,Conjunto de Porto,Oeste,Sales,PE,23219685,F0032
C00010,1952-11-13,69512073480,Renan Silva,svieira@nascimento.net,Feira de Campos,Serra,Moraes de Goiás,BA,45548053,F0098
C00011,1966-01-16,41097325814,Davi Luiz Rodrigues,omelo@gmail.com,Rua da Cruz,Cônego Pinheiro 1ª Seção,Sales,RS,61140532,F0003
C00012,1953-09-12,62017485985,Marina Dias,dfarias@gmail.com,Rua da Rocha,Nossa Senhora Da Conceição,da Rosa Verde,BA,37883610,F0041
C00013,2000-09-03,67532948137,Antônio Carvalho,nnogueira@ribeiro.net,Aeroporto Luiz Gustavo Vieira,Pindorama,Cardoso de Caldeira,CE,50242676,F0054
C00014,1995-02-21,54160789366,Srta. Alana Ferreira,ryan86@da.net,Passarela de da Cunha,Pindorama,Fogaça,RS,96678871,F0009
C00015,1970-01-10,90367284529,André Santos,vitoralmeida@bol.com.br,Travessa Lopes,Conjunto Capitão Eduardo,Alves do Norte,CE,46617628,F0061
C00016,1973-08-21,06259174802,Esther Moura,freitasluiz-otavio@gmail.com,Aeroporto Matheus Moraes,Lorena,Costa de Caldeira,CE,92136508,F0029
C00017,1999-12-01,50163748217,Igor Gomes,azevedorodrigo@costa.br,Quadra Davi Lucca Santos,Oeste,Novaes,PR,64857082,F0031
C00018,1973-11-05,37201459643,Cauê da Rocha,benjamin53@uol.com.br,Colônia Peixoto,Cônego Pinheiro 2ª Seção,Pinto,SP,92863359,F0023
C00019,1960-11-02,23049185651,Milena Vieira,oliveiraraul@novaes.com,Quadra de da Rocha,Granja Werneck,Gomes de Lima,SP,23321886,F0007
C00020,1975-08-08,62183749555,Paulo Lopes,paulocorreia@uol.com.br,Ladeira Dias,Santa Maria,Porto Verde,SC,95720306,F0078
C00021,1962-10-20,51924607352,Augusto Azevedo,kda-paz@gmail.com,Passarela Carlos Eduardo da Paz,Penha,Caldeira de Alves,BA,49965040,F0061
C00022,1997-02-10,16534092743,Alice da Conceição,oda-mata@da.com,Pátio de Farias,Graça,Castro,CE,07618808,F0069
C00023,1963-09-21,46390517270,Enzo Gabriel da Mata,enzo-gabriel53@uol.com.br,Colônia Rodrigues,Vila Santa Monica 1ª Seção,da Cruz,RJ,42387144,F0038
C00024,1993-09-29,65918037268,Bianca Azevedo,dduarte@da.br,Loteamento de Fernandes,Coração Eucarístico,Pires do Sul,SP,28100770,F0039
