funcional,Salario,NomeColaborador,EmailColaborador,Cargo,CPFColaborador,TelefoneColaborador,id_departamento
F0001,3793.83,João Guilherme Dias,thomas54@silveira.net,Especialista em Risco,71436528062,55819488184,D001
F0002,11067.58,Ana Laura Pereira,pintoalexia@mendes.com,Especialista em Risco,96472580111,55849605781,D002
F0003,12402.87,Alice Fogaça,joaquim33@silva.org,Coordenador de Operações,63902758465,55719543017,D006
F0004,13247.07,Sarah da Luz,fariascatarina@peixoto.org,Analista de Crédito,92580714685,55519467995,D010
F0005,4584.32,Ana Júlia Silva,leandropinto@almeida.org,Analista de Crédito,65293740865,55619905306,D003
F0006,3222.92,Luiz Otávio da Rocha,sabrinabarros@das.com,Coordenador de Operações,79032465180,55719445802,D001
F0007,9625.06,Erick Cunha,carolinacostela@martins.com,Analista de Crédito,38549267155,55519653765,D009
F0008,6800.2,Lorenzo Pinto,mourarenan@da.br,Especialista em Risco,36591028730,55619433377,D006
F0009,7980.14,Diogo Nascimento,sofia39@moraes.com,Gerente de Relacionamento,13497082678,55819299711,D006
F0010,6579.89,Davi Lucca Silva,ian12@pinto.net,Especialista em Risco,34156720934,55849244278,D005
F0011,14188.38,Isaac Cunha,bryanaraujo@moraes.net,Coordenador de Operações,75416902876,55849553838,D004
F0012,3207.18,Bruna das Neves,castrojoao-miguel@das.com,Atendente,19603875457,55119580691,D007
F0013,6604.92,Pedro Lucas Aragão,caua59@da.br,Atendente,84519372097,55219854169,D007
F0014,7335.69,Maria Eduarda Araújo,jesusluiz-henrique@fernandes.br,Analista de Crédito,85376429164,55319364395,D010
F0015,8850.76,Marcos Vinicius Ribeiro,silveiralavinia@da.com,Analista de Crédito,21560873930,55619781082,D008
F0016,10281.24,Davi Lucca Vieira,aragaosabrina@da.org,Coordenador de Operações,49782150304,55419742306,D003
F0017,5644.38,Calebe Nascimento,pviana@souza.net,Atendente,50367942143,55719565136,D001
F0018,10853.09,Bernardo Oliveira,pintogabrielly@barros.net,Analista de Crédito,72815934060,55119658942,D007
F0019,14280.58,Amanda Costa,joao-guilherme17@peixoto.br,Gerente de Relacionamento,40859273610,55119844928,D001
F0020,8288.52,Dra. Clarice Silva,yagoferreira@freitas.br,Especialista em Risco,52307964134,55819200101,D007
F0021,10381.6,Maria Alice Cunha,gabriellysilva@silveira.br,Coordenador de Operações,95483602170,55319246562,D003
F0022,10249.35,Calebe Moura,luigicastro@costela.com,Analista de Crédito,62543087974,55319009290,D002
F0023,9456.49,Bruno Aragão,vmoura@araujo.br,Analista de Crédito,96781243004,55419618409,D003
F0024,9395.53,Erick Castro,smoreira@ferreira.br,Gerente de Relacionamento,61243097850,55119908373,D006
F0025,11353.28,Yago Araújo,emendes@rezende.br,Gerente de Relacionamento,07841596375,55519059654,D008
F0026,5058.11,Sarah Correia,calebeda-luz@fernandes.br,Coordenador de Operações,73968254155,55519768795,D004
F0027,11297.65,Sra. Giovanna Vieira,goncalvesana-laura@da.org,Gerente de Relacionamento,08765249194,55619162874,D010
F0028,4332.34,Sophia Cardoso,leonardo62@fernandes.br,Coordenador de Operações,54098637200,55219023092,D003
F0029,7627.33,Augusto da Costa,giovanna43@vieira.br,Gerente de Relacionamento,39870614213,55419628163,D005
F0030,7087.34,Sr. Pedro da Cruz,npires@almeida.com,Atendente,51423680707,55519646252,D001
F0031,7932.75,Sr. Kaique Lopes,costabruna@dias.com,Atendente,45701698300,55719994835,D002
F0032,8977.01,Sr. Lorenzo Duarte,manuela87@nogueira.com,Gerente de Relacionamento,59426387137,55819339836,D002
F0033,5506.15,Isabel Cunha,hlopes@cavalcanti.com,Gerente de Relacionamento,19560482785,55119536524,D007
F0034,4158.47,Emilly Farias,marcelacardoso@nogueira.net,Atendente,06843157262,55719698291,D007
F0035,6082.45,Guilherme Gonçalves,yfogaca@cavalcanti.br,Coordenador de Operações,86417039269,55219089763,D008
