num_conta,TipoConta,Saldo,DataAbertura
AC98266150,Conta Digital,3278.8,2022-01-09
AC37995903,Conta Digital,15993.95,2023-09-24
AC18671137,Conta Corrente,3585.53,2022-06-27
AC65835953,Conta Corrente,4060.93,2023-02-20
AC36579651,Conta PJ,6160.8,2022-07-20
AC72488411,Conta Pagamento,320.42,2021-02-01
AC95021772,Conta Pagamento,142.87,2021-01-17
AC79123821,Conta Corrente,2084.37,2021-02-21
AC90390689,Conta Pagamento,8848.52,2023-01-05
AC61194549,Conta Corrente,4078.64,2023-09-13
AC41322648,Conta Corrente,2812.61,2022-09-15
AC48281347,Conta Digital,7549.87,2023-06-10
AC49995548,Conta Pagamento,1309.32,2021-08-09
AC86600175,Conta Digital,2234.98,2021-01-14
AC74948114,Conta PJ,833.68,2022-11-27
AC28237884,Conta Corrente,19174.86,2023-03-12
AC13269962,Conta Corrente,563.5,2022-09-01
AC83919010,Conta Digital,11247.86,2023-05-11
AC37041861,Conta Pagamento,871.55,2021-08-13
AC93669139,Conta Corrente,7457.91,2022-11-24
AC51583548,Conta Corrente,5382.16,2022-05-27
AC45687848,Conta Corrente,6716.5,2023-05-24
AC61557076,Conta Digital,2043.95,2021-02-12
AC61675974,Conta PJ,227.69,2021-06-23
AC20954632,Conta PJ,9043.5,2023-06-17
AC82067642,Conta Pagamento,2945.59,2021-03-20
AC33969192,Conta Pagamento,9242.72,2022-11-22
AC73972513,Conta Corrente,18846.69,2023-01-24
AC88506013,Conta PJ,437.58,2021-02-01
AC81657557,Conta Corrente,4266.25,2022-09-20
AC34789688,Conta Corrente,3133.86,2022-12-16
AC71025770,Conta PJ,2514.25,2022-09-04
AC79241401,Conta Corrente,2533.16,2021-06-07
AC75324734,Conta Pagamento,1440.49,2021-01-22
AC91835471,Conta Corrente,1412.76,2021-12-24
AC18135200,Conta Corrente,5408.55,2023-04-14
AC35020907,Conta Corrente,1695.21,2021-04-26
AC45654975,Conta Pagamento,5255.18,2022-06-28
AC75561154,Conta Pagamento,8643.12,2022-09-10
AC18850849,Conta PJ,3500.63,2022-04-15
AC34284954,Conta Corrente,2276.01,2021-05-05
AC26446351,Conta Corrente,8392.55,2023-07-12
AC48501224,Conta Corrente,7789.22,2022-01-06
AC46546397,Conta Pagamento,5627.09,2022-06-27
AC99078428,Conta Digital,6302.19,2022-12-23
AC97450897,Conta Digital,17709.41,2023-04-26
AC63857408,Conta Corrente,9060.84,2022-05-06
AC64227729,Conta Pagamento,4037.98,2022-11-24
AC88649621,Conta Corrente,4054.2,2022-11-08
AC39732730,Conta Corrente,1641.78,2022-10-12
AC57807482,Conta Corrente,920.33,2021-05-11
AC84546036,Conta Digital,1373.07,2021-05-25
AC80265882,Conta Pagamento,2076.95,2021-06-11
AC70812301,Conta Pagamento,7152.88,2023-07-18
AC96054866,Conta Corrente,6497.36,2022-01-06
AC73523318,Conta Corrente,4630.49,2022-11-20
AC36142280,Conta Corrente,3197.22,2022-10-10
AC30295163,Conta Pagamento,2219.59,2022-01-28
AC33819725,Conta Corrente,6905.11,2022-04-23
AC61205564,Conta Corrente,2067.39,2021-10-13
AC56699943,Conta Pagamento,17198.23,2023-01-10
AC62220740,Conta Corrente,8689.73,2022-06-07
AC23352899,Conta Digital,8156.96,2022-06-21
AC46928228,Conta Pagamento,9164.99,2023-10-09
AC26921634,Conta Corrente,2245.45,2021-05-14
AC62231517,Conta Corrente,7874.83,2022-06-05
AC36114536,Conta Pagamento,6381.58,2022-04-03
AC25846894,Conta Pagamento,2892.5,2022-02-18
AC73799226,Conta Digital,3871.67,2022-02-23
AC82701480,Conta Pagamento,6449.85,2022-08-20
AC13445719,Conta Digital,7194.95,2022-05-12
AC24369124,Conta Corrente,4578.6,2023-07-17
AC21367044,Conta Corrente,9093.13,2022-01-16
AC44783784,Conta Pagamento,4548.75,2023-04-15
AC50804227,Conta Corrente,5819.31,2022-04-01
AC56544204,Conta Corrente,3424.96,2022-09-22
AC48757397,Conta Corrente,2760.77,2021-10-14
AC72897551,Conta Pagamento,7174.49,2022-06-13
AC37388658,Conta Pagamento,631.76,2022-07-13
