id_telefone,Telefone,id_cliente
TEL_C00001_1,55819133505,C00001
TEL_C00001_2,55819822967,C00001
TEL_C00002_1,55619605133,C00002
TEL_C00002_2,55719790438,C00002
TEL_C00002_3,55719810256,C00002
TEL_C00003_1,55119415861,C00003
TEL_C00003_2,55619057205,C00003
TEL_C00003_3,55419683558,C00003
TEL_C00004_1,55849408042,C00004
TEL_C00004_2,55849111495,C00004
TEL_C00004_3,55619288864,C00004
TEL_C00004_4,55619544771,C00004
TEL_C00005_1,55319384556,C00005
TEL_C00005_2,55319993571,C00005
TEL_C00005_3,55849655673,C00005
TEL_C00005_4,55119351752,C00005
TEL_C00006_1,55819825687,C00006
TEL_C00006_2,55419864812,C00006
TEL_C00006_3,55719124611,C00006
TEL_C00006_4,55719524856,C00006
TEL_C00007_1,55419423286,C00007
TEL_C00007_2,55619887334,C00007
TEL_C00008_1,55219033743,C00008
TEL_C00008_2,55519266842,C00008
TEL_C00008_3,55519546421,C00008
TEL_C00008_4,55819433288,C00008
TEL_C00009_1,55619657864,C00009
TEL_C00009_2,55819852045,C00009
TEL_C00009_3,55819358525,C00009
TEL_C00010_1,55319312410,C00010
TEL_C00010_2,55849223897,C00010
TEL_C00011_1,55219322826,C00011
TEL_C00011_2,55219540367,C00011
TEL_C00012_1,55849445077,C00012
TEL_C00012_2,55719524799,C00012
TEL_C00012_3,55619179474,C00012
TEL_C00012_4,55849291042,C00012
TEL_C00013_1,55719467155,C00013
TEL_C00013_2,55419951967,C00013
TEL_C00014_1,55819270974,C00014
TEL_C00014_2,55849301724,C00014
TEL_C00014_3,55719415596,C00014
TEL_C00015_1,55819386598,C00015
TEL_C00015_2,55419875429,C00015
TEL_C00015_3,55219121810,C00015
TEL_C00015_4,55719960832,C00015
TEL_C00016_1,55519825139,C00016
TEL_C00016_2,55219370070,C00016
TEL_C00017_1,55819001729,C00017
TEL_C00017_2,55119955334,C00017
TEL_C00018_1,55719807162,C00018
TEL_C00018_2,55849484475,C00018
TEL_C00018_3,55849789863,C00018
TEL_C00019_1,55719264451,C00019
TEL_C00019_2,55119724071,C00019
TEL_C00019_3,55419406810,C00019
TEL_C00020_1,55319350358,C00020
TEL_C00020_2,55519111194,C00020
TEL_C00021_1,55219656098,C00021
TEL_C00021_2,55719699434,C00021
TEL_C00022_1,55719080205,C00022
TEL_C00022_2,55519351235,C00022
TEL_C00023_1,55319451797,C00023
TEL_C00023_2,55619855889,C00023
TEL_C00023_3,55849734048,C00023
TEL_C00024_1,55419158892,C00024
TEL_C00024_2,55419513425,C00024
TEL_C00024_3,55519336936,C00024
TEL_C00024_4,55519994624,C00024
TEL_C00025_1,55419514993,C00025
TEL_C00025_2,55719394139,C00025
TEL_C00025_3,55319108336,C00025
TEL_C00025_4,55819664561,C00025
TEL_C00026_1,55419081984,C00026
TEL_C00026_2,55819172763,C00026
TEL_C00026_3,55419919437,C00026
TEL_C00026_4,55819462455,C00026
TEL_C00027_1,55319058328,C00027
TEL_C00027_2,55719268117,C00027
TEL_C00027_3,55319898402,C00027
TEL_C00027_4,55719352501,C00027
TEL_C00028_1,55119178876,C00028
TEL_C00028_2,55719601987,C00028
TEL_C00029_1,55849915204,C00029
TEL_C00029_2,55719244909,C00029
TEL_C00029_3,55849004371,C00029
TEL_C00030_1,55519752131,C00030
TEL_C00030_2,55719886397,C00030
TEL_C00030_3,55519641384,C00030
TEL_C00031_1,55719609442,C00031
TEL_C00031_2,55219694729,C00031
TEL_C00031_3,55519840351,C00031
TEL_C00032_1,55519208446,C00032
TEL_C00032_2,55819456819,C00032
TEL_C00032_3,55619683455,C00032
TEL_C00033_1,55319197861,C00033
TEL_C00033_2,55819082571,C00033
TEL_C00034_1,55119363477,C00034
TEL_C00034_2,55219071079,C00034
TEL_C00034_3,55819089797,C00034
TEL_C00035_1,55219986509,C00035
TEL_C00035_2,55849349084,C00035
TEL_C00035_3,55719428735,C00035
TEL_C00036_1,55219246818,C00036
TEL_C00036_2,55119054123,C00036
TEL_C00037_1,55819395107,C00037
TEL_C00037_2,55819080484,C00037
TEL_C00037_3,55849123558,C00037
TEL_C00037_4,55719328967,C00037
TEL_C00038_1,55819118718,C00038
TEL_C00038_2,55319761912,C00038
TEL_C00038_3,55719621577,C00038
TEL_C00038_4,55849492748,C00038
TEL_C00039_1,55319690880,C00039
TEL_C00039_2,55819769393,C00039
TEL_C00040_1,55719800604,C00040
TEL_C00040_2,55419294761,C00040
TEL_C00040_3,55849897773,C00040
TEL_C00040_4,55819514558,C00040
TEL_C00041_1,55849320950,C00041
TEL_C00041_2,55519191862,C00041
TEL_C00041_3,55419238847,C00041
TEL_C00042_1,55849960294,C00042
TEL_C00042_2,55819724531,C00042
TEL_C00043_1,55319998523,C00043
TEL_C00043_2,55719167751,C00043
TEL_C00043_3,55519683485,C00043
TEL_C00044_1,55619213891,C00044
TEL_C00044_2,55419882038,C00044
TEL_C00045_1,55219872931,C00045
TEL_C00045_2,55519637429,C00045
TEL_C00045_3,55219148711,C00045
TEL_C00045_4,55619867336,C00045
TEL_C00046_1,55619567763,C00046
TEL_C00046_2,55119789672,C00046
TEL_C00046_3,55419902394,C00046
TEL_C00047_1,55319588867,C00047
TEL_C00047_2,55619292280,C00047
TEL_C00047_3,55619853974,C00047
TEL_C00047_4,55319726881,C00047
TEL_C00048_1,55219124159,C00048
TEL_C00048_2,55219914901,C00048
TEL_C00049_1,55519422020,C00049
TEL_C00049_2,55219397188,C00049
TEL_C00049_3,55519265985,C00049
TEL_C00050_1,55819092653,C00050
TEL_C00050_2,55319043291,C00050
TEL_C00051_1,55719924893,C00051
TEL_C00051_2,55319780865,C00051
TEL_C00051_3,55319934237,C00051
TEL_C00051_4,55119694448,C00051
TEL_C00052_1,55819672741,C00052
TEL_C00052_2,55849967521,C00052
TEL_C00053_1,55219607578,C00053
TEL_C00053_2,55619462890,C00053
TEL_C00054_1,55219383565,C00054
TEL_C00054_2,55519325634,C00054
TEL_C00055_1,55119404224,C00055
TEL_C00055_2,55849377453,C00055
TEL_C00055_3,55419462877,C00055
TEL_C00056_1,55849442337,C00056
TEL_C00056_2,55219182844,C00056
TEL_C00056_3,55619931932,C00056
TEL_C00056_4,55619821745,C00056
TEL_C00057_1,55619861677,C00057
TEL_C00057_2,55619565331,C00057
TEL_C00058_1,55319473032,C00058
TEL_C00058_2,55419412772,C00058
TEL_C00058_3,55319442461,C00058
TEL_C00059_1,55419885000,C00059
TEL_C00059_2,55119399344,C00059
TEL_C00059_3,55119599029,C00059
TEL_C00059_4,55819204135,C00059
TEL_C00060_1,55619049139,C00060
TEL_C00060_2,55219446694,C00060
TEL_C00061_1,55419152496,C00061
TEL_C00061_2,55819658272,C00061
TEL_C00062_1,55419131021,C00062
TEL_C00062_2,55219799164,C00062
TEL_C00062_3,55119537433,C00062
TEL_C00062_4,55849532816,C00062
TEL_C00063_1,55849478581,C00063
TEL_C00063_2,55619135390,C00063
TEL_C00063_3,55819522823,C00063
TEL_C00063_4,55819095888,C00063
TEL_C00064_1,55619440852,C00064
TEL_C00064_2,55119767519,C00064
TEL_C00064_3,55419771788,C00064
TEL_C00064_4,55219397141,C00064
TEL_C00065_1,55849032107,C00065
TEL_C00065_2,55119201395,C00065
TEL_C00065_3,55419152553,C00065
TEL_C00065_4,55219142502,C00065
TEL_C00066_1,55119378693,C00066
TEL_C00066_2,55219919917,C00066
TEL_C00066_3,55219167154,C00066
TEL_C00066_4,55319117647,C00066
TEL_C00067_1,55219886011,C00067
TEL_C00067_2,55319717488,C00067
TEL_C00067_3,55119402454,C00067
TEL_C00067_4,55519924583,C00067
TEL_C00068_1,55619569952,C00068
TEL_C00068_2,55719860102,C00068
TEL_C00069_1,55849315366,C00069
TEL_C00069_2,55419770883,C00069
TEL_C00070_1,55719579276,C00070
TEL_C00070_2,55619675050,C00070
TEL_C00070_3,55119771169,C00070
TEL_C00070_4,55719862431,C00070
TEL_C00071_1,55619772128,C00071
TEL_C00071_2,55519649411,C00071
TEL_C00071_3,55319720697,C00071
TEL_C00071_4,55119026775,C00071
TEL_C00072_1,55219754321,C00072
TEL_C00072_2,55419450738,C00072
TEL_C00072_3,55819021036,C00072
TEL_C00072_4,55419155678,C00072
TEL_C00073_1,55519418395,C00073
TEL_C00073_2,55849879954,C00073
TEL_C00073_3,55819114451,C00073
TEL_C00074_1,55319512381,C00074
TEL_C00074_2,55849909262,C00074
TEL_C00074_3,55519246869,C00074
TEL_C00075_1,55519912860,C00075
TEL_C00075_2,55219667121,C00075
TEL_C00075_3,55119967615,C00075
TEL_C00076_1,55849523590,C00076
TEL_C00076_2,55719733113,C00076
TEL_C00076_3,55619968102,C00076
TEL_C00076_4,55819867440,C00076
TEL_C00077_1,55219317890,C00077
TEL_C00077_2,55849473711,C00077
TEL_C00077_3,55319094220,C00077
TEL_C00078_1,55819970749,C00078
TEL_C00078_2,55119723428,C00078
TEL_C00078_3,55419369891,C00078
TEL_C00078_4,55619068025,C00078
TEL_C00079_1,55319882955,C00079
TEL_C00079_2,55319363411,C00079
TEL_C00079_3,55619601142,C00079
TEL_C00080_1,55619599575,C00080
TEL_C00080_2,55119912940,C00080
TEL_C00080_3,55119287521,C00080
TEL_C00080_4,55719140083,C00080
TEL_C00081_1,55519031703,C00081
TEL_C00081_2,55119701286,C00081
TEL_C00082_1,55519319327,C00082
TEL_C00082_2,55819731005,C00082
TEL_C00082_3,55219663311,C00082
TEL_C00083_1,55519461071,C00083
TEL_C00083_2,55719934444,C00083
TEL_C00083_3,55819520792,C00083
TEL_C00084_1,55219635399,C00084
TEL_C00084_2,55719932616,C00084
TEL_C00084_3,55219296545,C00084
TEL_C00085_1,55119857792,C00085
TEL_C00085_2,55619696661,C00085
TEL_C00085_3,55719699120,C00085
TEL_C00085_4,55849909206,C00085
TEL_C00086_1,55719641098,C00086
TEL_C00086_2,55719636263,C00086
TEL_C00086_3,55819495841,C00086
TEL_C00086_4,55219463915,C00086
TEL_C00087_1,55519048536,C00087
TEL_C00087_2,55519830949,C00087
TEL_C00087_3,55819491286,C00087
TEL_C00088_1,55719680088,C00088
TEL_C00088_2,55849327820,C00088
TEL_C00088_3,55719900644,C00088
TEL_C00089_1,55119867015,C00089
TEL_C00089_2,55819003057,C00089
TEL_C00089_3,55519661803,C00089
TEL_C00089_4,55849023525,C00089
TEL_C00090_1,55519314857,C00090
TEL_C00090_2,55849106879,C00090
TEL_C00090_3,55319857443,C00090
TEL_C00090_4,55519244839,C00090
TEL_C00091_1,55619740483,C00091
TEL_C00091_2,55719532537,C00091
TEL_C00091_3,55719281229,C00091
TEL_C00092_1,55619798937,C00092
TEL_C00092_2,55419042421,C00092
TEL_C00092_3,55119472325,C00092
TEL_C00092_4,55119105312,C00092
TEL_C00093_1,55619531003,C00093
TEL_C00093_2,55849268712,C00093
TEL_C00094_1,55319877658,C00094
TEL_C00094_2,55619182538,C00094
TEL_C00094_3,55819837299,C00094
TEL_C00094_4,55819394371,C00094
TEL_C00095_1,55419822932,C00095
TEL_C00095_2,55219682333,C00095
TEL_C00095_3,55219137519,C00095
TEL_C00096_1,55849646277,C00096
TEL_C00096_2,55519308673,C00096
TEL_C00096_3,55319705783,C00096
TEL_C00097_1,55719291218,C00097
TEL_C00097_2,55119985660,C00097
TEL_C00097_3,55319270737,C00097
TEL_C00098_1,55849964385,C00098
TEL_C00098_2,55419741639,C00098
TEL_C00098_3,55819068118,C00098
TEL_C00098_4,55719893989,C00098
TEL_C00099_1,55119825723,C00099
TEL_C00099_2,55419677894,C00099
TEL_C00099_3,55319360268,C00099
TEL_C00100_1,55519227035,C00100
TEL_C00100_2,55419085246,C00100
TEL_C00100_3,55319208521,C00100
TEL_C00100_4,55719682643,C00100
TEL_C00101_1,55119885930,C00101
TEL_C00101_2,55319845194,C00101
TEL_C00101_3,55819391578,C00101
TEL_C00102_1,55619981005,C00102
TEL_C00102_2,55219697138,C00102
TEL_C00103_1,55619044417,C00103
TEL_C00103_2,55219463205,C00103
TEL_C00103_3,55319036934,C00103
TEL_C00103_4,55219696599,C00103
TEL_C00104_1,55519165462,C00104
TEL_C00104_2,55849150242,C00104
TEL_C00104_3,55819585761,C00104
TEL_C00105_1,55849932195,C00105
TEL_C00105_2,55619458891,C00105
TEL_C00105_3,55849846877,C00105
TEL_C00106_1,55849831777,C00106
TEL_C00106_2,55319795847,C00106
TEL_C00106_3,55519404421,C00106
TEL_C00107_1,55619377847,C00107
